cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cat_feature_7,cat_feature_8,cat_feature_9,cat_feature_10,cont_feature_1,cont_feature_2,cont_feature_3,cont_feature_4,cont_feature_5,cont_feature_6,cont_feature_7,cont_feature_8,cont_feature_9,cont_feature_10,cont_feature_11,target
1,1,5,2,4,1,2,0,2,7,71.69777131489086,34.66388125216094,41.42693294560603,19.270722132705277,99.32647298159833,73.84429083092164,42.36122752354642,46.334699268731704,92.58501148620284,58.48900670990884,72.73366967070002,1
3,4,7,2,3,2,4,2,4,3,80.84615078203217,57.02253441031083,2.8629015462868335,37.52279291695378,16.731920788746645,20.252617100257808,17.784747425089996,28.612687870967545,51.439229707319875,14.569574815149533,0.44458227798147565,1
3,1,3,4,4,0,5,5,3,8,45.664242399949295,51.85193786712691,38.89390036771179,23.701157945905095,27.47136800170843,37.448362837705986,61.59888462330149,7.951158793285352,32.193705697697574,91.73307562636627,97.0738470433159,1
4,4,4,0,3,1,0,6,2,4,50.56345910391341,5.123745538479952,60.32149677616066,65.6242615833983,84.38217561383112,42.822237638691576,85.76811489061092,84.95670458049918,77.97149461930718,41.85453507304672,8.967751078987707,1
1,2,0,3,2,0,0,1,8,7,68.33065239369014,72.45227521044067,2.9936273958229065,65.6509706755912,21.84567844351607,73.84447243246123,36.24642134063324,17.479143315972845,76.48507531984392,6.403019425680334,19.12503095686069,0
0,0,0,2,3,2,0,9,0,3,90.50851955026971,78.33634325790413,74.59407323475817,42.09563233719952,4.157903745571745,40.667931754719554,24.21785117804737,44.510213579448134,34.326669822348,49.22173062079808,97.55975699081144,1
1,2,3,4,4,0,3,0,3,2,65.38382019857359,32.073132174676566,42.35686870730502,78.9273302051953,62.830040630321534,46.1326629238639,81.47435348539742,53.05646562644406,4.769876703487608,31.588814266112088,97.96149547959483,0
2,1,2,2,3,1,6,2,6,6,46.44127177451698,38.86115609333148,94.74517649235625,29.62882288750376,89.21427816252152,10.89738335005952,81.77461203774817,7.462183133631395,17.34353888423478,40.65344943925089,13.407094238225625,1
2,1,8,0,4,0,0,3,0,1,91.48234549358317,94.31734375195981,20.064507202041437,94.23835735552092,83.39059091854996,79.35766114811256,54.98682571654434,43.93981362539034,20.764136813777924,20.384757799934185,97.78686153094336,0
0,0,2,3,5,3,6,1,7,1,14.985517310909346,42.179659051373385,46.52665457439148,35.793309030963314,58.001603556927996,94.70364028093094,63.66567301407679,5.656092865774398,39.655215416341015,66.98110519030685,33.990869443352054,1
